epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0247,1.97,3.21604,7.0352,1.23457,0.00049,0.02514,0.00025,0.00012,5e-05,0.00279,3e-05,1e-05,1.99899,8.37953,4.50653,1.32339,0.09204,4e-05,4e-05
2,14.4465,1.74207,2.54747,4.65757,1.09559,0.00049,0.02514,0.00335,0.00199,0.00027,0.01397,0.00139,0.00058,1.53574,37.3751,4.14071,1.09036,0.0830846,8.45792e-05,8.45792e-05
3,19.0361,1.78542,2.38573,2.88132,1.05723,0.00448,0.22905,0.09217,0.02846,0.00142,0.07263,0.0038,0.0009,1.44073,52.0237,3.92,1.05084,0.0741287,0.000128713,0.000128713
4,22.9618,1.66907,2.23028,2.13865,1.00338,0.51351,0.05307,0.27836,0.1302,0,0,0,0,1.5211,72.0821,3.95811,1.04402,0.0651724,0.000172401,0.000172401
5,26.9941,1.57819,2.24397,1.88352,1.02842,0.97778,0.12291,0.54996,0.33387,0.73333,0.09218,0.4054,0.18493,1.55825,51.8074,3.85494,1.06166,0.0562156,0.000215644,0.000215644
6,30.9668,1.5194,1.99193,1.90504,1.02769,0.74121,0.64804,0.71496,0.39823,0.61342,0.53631,0.58711,0.26424,1.55631,27.3657,3.6451,1.06432,0.0472584,0.000258441,0.000258441
7,34.9549,1.53741,2.09468,1.40632,1.03873,0.5154,0.88827,0.82788,0.44556,0.45057,0.77654,0.73163,0.32211,1.53693,12.7799,3.23482,1.07952,0.0383008,0.000300793,0.000300793
8,39.0284,1.51393,2.07521,1.28092,1.03153,0.34549,0.95251,0.87532,0.46742,0.28875,0.79609,0.72665,0.31097,1.52828,7.15743,2.77629,1.09182,0.0293427,0.000342699,0.000342699
9,43.2132,1.49036,1.98565,1.2243,1.07791,0.26908,0.95531,0.89156,0.46583,0.24154,0.85754,0.79198,0.34037,1.58026,4.914,2.48885,1.12407,0.0203842,0.00038416,0.00038416
10,47.4551,1.50453,2.06187,1.23588,1.09876,0.86666,0.83518,0.90057,0.47641,0.86445,0.77933,0.85559,0.39206,1.56594,3.7416,2.19593,1.12206,0.0114252,0.000425175,0.000425175
