epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1875.01,1.32492,1.74998,0.88059,0.91405,0.91136,0.88129,0.95008,0.49949,0.89664,0.86752,0.9293,0.44274,1.61362,2.23275,0.86251,1.13529,0.00042575,0.00042575,0.00042575
32,1925.31,1.38345,1.86068,0.9022,0.9602,0.91136,0.88129,0.95008,0.49949,0.89664,0.86752,0.9293,0.44274,1.61362,2.23275,0.86251,1.13529,0.000423275,0.000423275,0.000423275
33,1972.78,1.39162,1.78246,0.92355,0.94701,0.90954,0.86191,0.94172,0.50921,0.89796,0.88006,0.9247,0.47225,1.61101,2.23694,0.86683,1.13239,0.0004208,0.0004208,0.0004208
34,2018.32,1.3686,1.71879,0.87516,0.95976,0.90954,0.86191,0.94172,0.50921,0.89796,0.88006,0.9247,0.47225,1.61101,2.23694,0.86683,1.13239,0.000418325,0.000418325,0.000418325
35,2063.77,1.32372,1.76976,0.8705,0.92779,0.89447,0.87143,0.94402,0.52436,0.88576,0.88616,0.94059,0.49572,1.57483,2.23867,0.85314,1.11994,0.00041585,0.00041585,0.00041585
36,2108.58,1.40254,1.65815,0.85735,0.96011,0.85511,0.91429,0.94493,0.52354,0.87358,0.9,0.94144,0.471,1.56612,2.20669,0.83037,1.11355,0.000413375,0.000413375,0.000413375
37,2152.78,1.29304,1.65524,0.8697,0.93952,0.85511,0.91429,0.94493,0.52354,0.87358,0.9,0.94144,0.471,1.56612,2.20669,0.83037,1.11355,0.0004109,0.0004109,0.0004109
38,2197.86,1.39761,1.54779,0.82385,0.94039,0.87598,0.94286,0.95605,0.52543,0.86599,0.92323,0.94248,0.47226,1.57105,2.17447,0.82456,1.11374,0.000408425,0.000408425,0.000408425
39,2243.01,1.35673,1.73215,0.84067,0.9221,0.8767,0.94286,0.95478,0.52672,0.85246,0.9,0.92871,0.4617,1.59525,2.20463,0.82704,1.12523,0.00040595,0.00040595,0.00040595
40,2290.38,1.30117,1.56753,0.83167,0.9207,0.8767,0.94286,0.95478,0.52672,0.85246,0.9,0.92871,0.4617,1.59525,2.20463,0.82704,1.12523,0.000403475,0.000403475,0.000403475
41,2335.77,1.30655,1.63684,0.79005,0.8741,0.85073,0.94286,0.95325,0.51828,0.84061,0.9,0.91985,0.45476,1.60158,2.24818,0.80816,1.13147,0.000401,0.000401,0.000401
42,2380.9,1.20084,1.59511,0.81186,0.91859,0.85073,0.94286,0.95325,0.51828,0.84061,0.9,0.91985,0.45476,1.60158,2.24818,0.80816,1.13147,0.000398525,0.000398525,0.000398525
43,2426.21,1.22051,1.56103,0.73985,0.90166,0.8419,0.94286,0.94623,0.50292,0.82888,0.92857,0.92146,0.46696,1.59388,2.24567,0.79972,1.13041,0.00039605,0.00039605,0.00039605
44,2471.77,1.24176,1.50385,0.77791,0.90249,0.82675,0.92857,0.93239,0.50382,0.81243,0.91429,0.90986,0.45957,1.5769,2.2304,0.80852,1.12615,0.000393575,0.000393575,0.000393575
45,2517.61,1.30662,1.65718,0.73611,0.92378,0.82675,0.92857,0.93239,0.50382,0.81243,0.91429,0.90986,0.45957,1.5769,2.2304,0.80852,1.12615,0.0003911,0.0003911,0.0003911
46,2563.72,1.32201,1.50264,0.73726,0.92157,0.81199,0.92857,0.93381,0.49783,0.7995,0.91429,0.90992,0.45247,1.57791,2.25077,0.80492,1.13026,0.000388625,0.000388625,0.000388625
47,2609.65,1.35968,1.48207,0.75414,0.87708,0.80211,0.91429,0.92922,0.50341,0.77593,0.88571,0.8981,0.44885,1.58294,2.25656,0.79324,1.13018,0.00038615,0.00038615,0.00038615
48,2654.42,1.2494,1.59917,0.79753,0.90142,0.80211,0.91429,0.92922,0.50341,0.77593,0.88571,0.8981,0.44885,1.58294,2.25656,0.79324,1.13018,0.000383675,0.000383675,0.000383675
49,2698.66,1.27779,1.60964,0.80483,0.92587,0.83529,0.86937,0.92977,0.47267,0.84443,0.77545,0.89469,0.42955,1.60884,2.22508,0.78983,1.14233,0.0003812,0.0003812,0.0003812
50,2743.47,1.39295,1.65923,0.81951,0.94741,0.83529,0.86937,0.92977,0.47267,0.84443,0.77545,0.89469,0.42955,1.60884,2.22508,0.78983,1.14233,0.000378725,0.000378725,0.000378725
51,2787.86,1.32356,1.55043,0.84106,0.93639,0.81496,0.91429,0.92819,0.47171,0.79797,0.85714,0.8888,0.39295,1.61217,2.20001,0.79811,1.14746,0.00037625,0.00037625,0.00037625
52,2832.5,1.26994,1.51389,0.78893,0.92102,0.80731,0.89782,0.91697,0.47524,0.79422,0.88571,0.89023,0.40317,1.59736,2.17084,0.80151,1.14293,0.000373775,0.000373775,0.000373775
53,2878.45,1.30047,1.5332,0.81868,0.94578,0.80731,0.89782,0.91697,0.47524,0.79422,0.88571,0.89023,0.40317,1.59736,2.17084,0.80151,1.14293,0.0003713,0.0003713,0.0003713
54,2926.92,1.2455,1.49569,0.76784,0.90325,0.79641,0.9,0.91857,0.4934,0.78377,0.88571,0.89476,0.41466,1.59399,2.15926,0.82475,1.13832,0.000368825,0.000368825,0.000368825
55,2975.32,1.30933,1.67609,0.82112,0.93714,0.77859,0.9,0.91526,0.49132,0.76623,0.88571,0.87755,0.42287,1.59382,2.16129,0.82342,1.14053,0.00036635,0.00036635,0.00036635
