epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,640.183,1.29518,1.98974,0.92235,1.04314,0.03222,0.92063,0.87704,0.53411,0.02944,0.84127,0.54405,0.20416,1.36928,5.44492,2.77464,1.08103,0.0412527,0.000252653,0.000252653
31,659.595,1.28165,1.7794,0.89484,1.00319,0.03222,0.92063,0.87704,0.53411,0.02944,0.84127,0.54405,0.20416,1.36928,5.44492,2.77464,1.08103,0.0392597,0.000259708,0.000259708
32,680.803,1.26091,1.83345,0.86323,1.01272,0.03222,0.92063,0.87704,0.53411,0.02944,0.84127,0.54405,0.20416,1.36928,5.44492,2.77464,1.08103,0.0372667,0.000266663,0.000266663
33,700.603,1.20242,1.67376,0.88348,0.98752,0.10142,0.90476,0.85734,0.51851,0.09431,0.84127,0.70177,0.26663,1.39808,4.6877,2.58968,1.09785,0.0352735,0.00027352,0.00027352
34,722.552,1.32386,1.8394,0.90553,1.00816,0.10142,0.90476,0.85734,0.51851,0.09431,0.84127,0.70177,0.26663,1.39808,4.6877,2.58968,1.09785,0.0332803,0.000280278,0.000280278
35,743.935,1.28331,1.78493,0.90408,1.04358,0.10142,0.90476,0.85734,0.51851,0.09431,0.84127,0.70177,0.26663,1.39808,4.6877,2.58968,1.09785,0.0312869,0.000286937,0.000286937
36,764.128,1.17603,1.63656,0.86086,0.96898,0.88805,0.8815,0.89039,0.54712,0.81911,0.80952,0.80386,0.36779,1.36512,3.89101,2.32084,1.08192,0.0292935,0.000293496,0.000293496
37,782.868,1.16426,1.62492,0.8845,0.94191,0.88805,0.8815,0.89039,0.54712,0.81911,0.80952,0.80386,0.36779,1.36512,3.89101,2.32084,1.08192,0.0273,0.000299957,0.000299957
38,802.556,1.19761,1.66202,0.87674,0.95712,0.88805,0.8815,0.89039,0.54712,0.81911,0.80952,0.80386,0.36779,1.36512,3.89101,2.32084,1.08192,0.0253063,0.000306319,0.000306319
39,824.732,1.16886,1.61327,0.79724,0.94476,0.96984,0.55556,0.90781,0.57277,0.97177,0.54648,0.85629,0.38998,1.33559,3.29113,2.06532,1.06912,0.0233126,0.000312582,0.000312582
