epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92609,2.86328,3.92834,12.4292,1.49255,0.00182,0.00522,0.00064,0.00034,0.00243,0.00696,0.00064,0.00026,2.23911,3.76697,24.1084,1.13542,0.00024,0.00024,0.00024
2,4.92665,2.49337,3.52533,15.6762,0.97396,0.47057,0.19826,0.18719,0.05765,0.43751,0.18532,0.15907,0.03753,2.18852,3.26362,3.41193,0.98846,0.000497525,0.000497525,0.000497525
3,6.96327,2.65263,3.98032,4.35829,1.03903,0.28832,0.53043,0.25884,0.11375,0.23916,0.44,0.18912,0.06376,1.90103,3.27575,8.01581,0.94644,0.000752476,0.000752476,0.000752476
4,9.07469,2.58022,4.11288,4.31099,1.01876,0.41462,0.54087,0.2823,0.12678,0.40093,0.52348,0.25703,0.09057,2.00232,2.96014,4.6436,1.0019,0.00100485,0.00100485,0.00100485
5,11.4343,2.42086,3.57521,3.66992,1.09324,0.05377,0.49043,0.04052,0.02188,0.04775,0.4313,0.03432,0.01284,1.96746,3.35938,inf,0.994,0.00125466,0.00125466,0.00125466
6,13.3894,2.39059,3.50103,2.95496,1.03864,0.07139,0.40348,0.05404,0.02543,0.06626,0.38783,0.04697,0.01811,2.07152,3.51029,nan,1.02481,0.00150189,0.00150189,0.00150189
7,15.4929,2.3927,3.63234,4.50961,1.0389,0.11836,0.02261,0.01555,0.0069,0.11836,0.02261,0.01514,0.00733,2.37636,3.78328,4.50463,1.08199,0.00174654,0.00174654,0.00174654
8,17.5387,2.22555,3.53971,4.38396,0.97126,0.53362,0.5287,0.50894,0.16269,0.21914,0.25233,0.11567,0.02136,2.40264,4.88611,1.91189,1.07651,0.0019307,0.0019307,0.0019307
9,19.6386,2.79738,4.1686,2.14941,1.12072,0.53362,0.5287,0.50894,0.16269,0.21914,0.25233,0.11567,0.02136,2.40264,4.88611,1.91189,1.07651,0.0019208,0.0019208,0.0019208
10,21.7093,2.30619,4.68683,2.53967,1.08732,0.78511,0.61739,0.63404,0.25809,0.70134,0.5287,0.52093,0.14522,2.06788,4.34067,3.83693,1.03369,0.0019109,0.0019109,0.0019109
11,23.8204,2.27594,7.34335,3.31049,1.09602,0.28369,0.64174,0.48455,0.16328,0.13919,0.31826,0.12875,0.02899,2.25455,7.82244,39.3688,1.10817,0.001901,0.001901,0.001901
12,25.8268,2.44879,6.13962,2.24272,1.11027,0.47423,0.44174,0.40544,0.1219,0.26146,0.29391,0.15283,0.0345,2.84834,5.93847,8.68773,1.51077,0.0018911,0.0018911,0.0018911
13,27.6949,2.46556,4.4379,2.89856,1.06083,0.31422,0.27304,0.17911,0.04634,0.30178,0.2713,0.17785,0.05017,3.09174,7.37184,5.50892,2.13634,0.0018812,0.0018812,0.0018812
14,29.6075,2.37331,4.33004,1.69252,1.06364,0.26972,0.13913,0.10884,0.03742,0.23263,0.12,0.09142,0.0253,2.82192,9.54424,6.10744,1.61018,0.0018713,0.0018713,0.0018713
15,31.4973,2.44571,3.98803,1.21932,1.0411,0.26972,0.13913,0.10884,0.03742,0.23263,0.12,0.09142,0.0253,2.82192,9.54424,6.10744,1.61018,0.0018614,0.0018614,0.0018614
16,33.4429,2.31744,4.10611,1.60101,1.03634,0.00787,0.04348,0.00367,0.00161,0.0066,0.03652,0.00297,0.00118,2.58152,6.12313,9.50261,1.27408,0.0018515,0.0018515,0.0018515
17,35.345,2.27183,3.82703,1.44848,1.06662,0.23857,0.22261,0.09495,0.03717,0.20798,0.18405,0.07441,0.02308,2.36935,4.35515,2.99237,1.05837,0.0018416,0.0018416,0.0018416
18,37.3568,2.28054,3.58075,1.15006,1.026,0.54544,0.4713,0.44977,0.18588,0.45884,0.35685,0.32297,0.08829,2.2739,5.65695,1.53432,1.07005,0.0018317,0.0018317,0.0018317
19,39.2509,2.41098,3.76401,1.15499,1.02004,0.0816,0.08174,0.08822,0.033,0.0816,0.08174,0.08119,0.02835,2.93376,10.025,2.21322,1.25903,0.0018218,0.0018218,0.0018218
